numero_registro;produto (marca comercial);bula_pdf;fonte_pagina;praga_nome_comum;praga_nome_cientifico;dose_min;dose_max;dose_unidade;volume_calda_min;volume_calda_max;volume_calda_unidade;volume_calda_outros;num_max_aplicacoes;intervalo_aplicacao;culturas;n_registros;fonte_trecho;status;ok_humano (S/N);correcao
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Beldroega;Portulaca oleracea;0.5;0.7;L/ha;;;;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";1;;Soja;1;SOJA | Beldroega (Portulaca oleracea) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Caruru;Amaranthus hybridus;0.5;0.7;L/ha;;;;"Terrestre: 100 a 300 L/ha; Aérea: 30 a 50 L/ha";1;;Soja;1;SOJA | Caruru (Amaranthus hybridus) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
1098;Counter 150 G;1098.pdf;3;Cupins;Heterotermes tenuis;16.0;20.0;kg/ha;;;;;;;Cana-de-açúcar;1;Cupins Heterotermes tenuis | 16 a 20 kg/ha | 2,5 a 3,0 kg/ha;validado;;
1098;Counter 150 G;1098.pdf;3;Tripes-do-bronzeamento;Enneothrips flavens;13.0;13.0;kg/ha;;;;;;;Amendoim;1;Amendoim | Tripes-do-bronzeamento Enneothrips flavens | 13 kg/ha | 1,95 kg/ha;validado;;
112;Rajer;112.pdf;4;Cheirosa;Hyptis suaveolens;60.0;80.0;g/ha;;;;"Terrestre tratorizada: 100 a 300 L/ha; Terrestre manual costal: 400 a 600 L/ha; Aérea: 20 a 40 L/ha";1;;Soja;1;Cheirosa | Hyptis suaveolens | 60 - 80 g/ha | 1 | 100 a 300 (terrestre tratorizada) 400 a 600 (terrestre manual costal) 20 a 40 (aérea);validado;;
112;Rajer;112.pdf;5;Carrapicho-de-carneiro;Acanthospermum hispidum;60.0;80.0;g/ha;;;;"Terrestre tratorizada: 100 a 300 L/ha; Terrestre manual costal: 400 a 600 L/ha";1;;Eucalipto,Pinus;2;EUCALIPTO, PINUS | Carrapicho-de-carneiro | Acanthospermum hispidum | 60 - 80 g/ha | 1 | 100 a 300 (terrestre tratorizada) 400 a 600 (terrestre manual costal);validado;;
12725;"Alkazar; AminoForce Plus";12725.pdf;4;Guanxuma, malva ou vassourinha;Sida rhombifolia;1.5;2.0;L/ha;200.0;400.0;L/ha;;1;;Arroz;1;Guanxuma, malva ou vassourinha (Sida rhombifolia) | 1,5 - 2,0 L/ha;validado;;
12725;"Alkazar; AminoForce Plus";12725.pdf;5;Erva-quente, Poaia-do-campo;Spermacoce alata;2.0;2.0;L/ha;200.0;300.0;L/ha;;1;;Pastagem;1;Erva-quente, Poaia-do-campo (Spermacoce alata) | 2,0 L/ha;validado_bula;;
1338704;Supermetrina Agria 500;1338704.pdf;2;Traça-do-tomate;Tuta absoluta;20.0;20.0;mL/100L;1000.0;1000.0;L/ha;;3;aplicar novamente caso haja reinfestação;Tomate;1;Traça-do-tomate Tuta absoluta | 20 ml / 100 L água | 10 g de / 100 L de água;validado;;
1338704;Supermetrina Agria 500;1338704.pdf;2;Tripes;Frankliniella schultzei;10.0;10.0;mL/100L;1000.0;1000.0;L/ha;;3;aplicar novamente caso haja reinfestação;Tomate;1;Tripes Frankliniella schultzei | 10 ml / 100 L de água | 5 g de / 100 L de água;validado;;
14225;"Alchemy; AzoxcyForce";14225.pdf;6;Podridão-abacaxi;Ceratocystis paradoxa;250.0;300.0;mL/ha;;;;;;;Cana-de-açúcar;1;Podridão-abacaxi (Ceratocystis paradoxa) | 250 a 300 mL/ha *exclusivamente para tratamento industrial de propágulos vegetativos;validado;;
14225;"Alchemy; AzoxcyForce";14225.pdf;7;Cercosporiose;Cercospora zeae-maydis;300.0;300.0;mL/ha;100.0;200.0;L/ha;Aplicação aérea: 20 a 40 L/ha.;2;15 dias;Milho;1;Cercosporiose (Cercospora zeae-maydis) | [dose herdada: 300 mL/ha, mesmo bloco de Mancha-de-Phaeosphaeria (Milho)];validado;;
