numero_registro;marca;bula_pdf;fonte_pagina;praga_nome_comum;praga_nome_cientifico;dose_min;dose_max;dose_unidade;volume_calda_min;volume_calda_max;volume_calda_unidade;num_max_aplicacoes;intervalo_aplicacao;culturas;n_registros;fonte_trecho;status;ok_humano (S/N);correcao
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Amendoim-bravo;Euphorbia heterophylla;0.7;0.7;L/ha;;;;1;;Soja;1;Amendoim-bravo (Euphorbia heterophylla) | 0,7* | * dose de 0,7 L/ha quando 2 a 4 folhas e densidade < 50 plantas/m2;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Apaga-fogo;Alternanthera tenella;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Apaga-fogo (Alternanthera tenella) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Beldroega;Portulaca oleracea;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Beldroega (Portulaca oleracea) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Carrapicho-de-carneiro;Acanthospermum hispidum;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Carrapicho-de-carneiro (Acanthospermum hispidum) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Carrapicho-rasteiro;Acanthospermum australe;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Carrapicho-rasteiro (Acanthospermum australe) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Caruru;Amaranthus hybridus;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Caruru (Amaranthus hybridus) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Cheirosa;Hyptis suaveolens;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Cheirosa (Hyptis suaveolens) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Corda-de-viola;Ipomoea grandifolia;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Corda-de-viola (Ipomoea grandifolia) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Corda-de-viola;Ipomoea purpurea;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Corda-de-viola (Ipomoea purpurea) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
10420;Lactofem 240 EC Agrilean;10420.pdf;3;Erva-de-touro;Tridax procumbens;0.5;0.7;L/ha;;;;1;;Soja;1;SOJA | Erva-de-touro (Tridax procumbens) | 0,5 a 0,7 (L/ha do p.c.) | Aplicação Terrestre: 100-300 L/ha Aplicação Aérea: 30-50 L/ha | 1;validado;;
